City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Arraial Do Cabo,BR,72.3,clear sky,-22.9661,-42.0278,Pousada Porto Praia
5,Kwekwe,ZW,70.81,few clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
13,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
14,Galveston,US,71.22,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
15,Atar,MR,68.76,overcast clouds,20.5169,-13.0499,Oumou Elghoura
17,Cariacica,BR,72.79,broken clouds,-20.2639,-40.42,Recanto da Vivi
20,Hilo,US,68.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Rikitea,PF,76.05,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Kavieng,PG,81.46,moderate rain,-2.5744,150.7967,Nusa Island Retreat
24,Tautira,PF,82.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
26,Hithadhoo,MV,81.86,broken clouds,-0.6,73.0833,Scoop Guest House
29,New Norfolk,AU,75.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
30,Areia Branca,BR,78.53,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
33,Butaritari,KI,83.14,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Formosa Do Rio Preto,BR,67.87,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
38,Santo Tomas,PH,82.58,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
39,Port Alfred,ZA,68.27,light rain,-33.5906,26.891,The Halyards Hotel
45,Bambous Virieux,MU,81.21,few clouds,-20.3428,57.7575,Casa Tia Villa
49,Pangai,TO,80.06,light rain,-19.8,-174.35,Ha'apai Beach Resort
53,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
54,Saint-Joseph,RE,82.2,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
55,Jacareacanga,BR,73.18,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
57,Bambanglipuro,ID,75.6,overcast clouds,-7.95,110.2833,Puri Brata
58,San Pedro,PH,84.34,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
