City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,84.36,65,40,12.66,scattered clouds
1,Jamestown,US,42.097,-79.2353,36.72,89,71,1.01,broken clouds
2,Lumeje,AO,-11.55,20.7833,64.35,95,100,2.37,overcast clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,82,4,9.98,clear sky
4,Bluff,NZ,-46.6,168.3333,52.81,77,100,10.8,light rain
5,Kwekwe,ZW,-18.9281,29.8149,70.81,44,12,4.32,few clouds
6,Bredasdorp,ZA,-34.5322,20.0403,59.29,95,100,19.08,moderate rain
7,Albany,US,42.6001,-73.9662,36.68,77,35,7.92,scattered clouds
8,Cape Town,ZA,-33.9258,18.4232,63.12,86,75,12.66,broken clouds
9,Mataura,NZ,-46.1927,168.8643,52.48,99,100,4.97,light rain
10,Sitka,US,57.0531,-135.33,32.85,86,100,0.94,light snow
11,Barrow,US,71.2906,-156.7887,5.77,87,83,14.67,broken clouds
12,Kushmurun,KZ,52.4503,64.6311,23.86,94,88,12.08,overcast clouds
13,Avarua,CK,-21.2078,-159.775,78.85,89,20,4.61,few clouds
14,Galveston,US,29.3669,-94.9669,71.22,93,93,8.28,overcast clouds
15,Atar,MR,20.5169,-13.0499,68.76,16,91,8.61,overcast clouds
16,Busselton,AU,-33.65,115.3333,86.09,31,45,10.45,scattered clouds
17,Cariacica,BR,-20.2639,-40.42,72.79,91,75,2.3,broken clouds
18,Dikson,RU,73.5069,80.5464,-8.07,98,100,23.8,light snow
19,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,17.27,broken clouds
20,Hilo,US,19.7297,-155.09,68.25,93,90,3.44,light rain
21,Clyde River,CA,70.4692,-68.5914,12.43,85,100,34.52,snow
22,Rikitea,PF,-23.1203,-134.9692,76.05,73,92,9.19,overcast clouds
23,Kavieng,PG,-2.5744,150.7967,81.46,82,100,16.64,moderate rain
24,Tautira,PF,-17.7333,-149.15,82.0,73,26,13.11,scattered clouds
25,Lakhdenpokhya,RU,61.5198,30.1992,13.82,87,48,9.4,scattered clouds
26,Hithadhoo,MV,-0.6,73.0833,81.86,79,70,13.85,broken clouds
27,Sven,RU,53.1822,34.5511,26.71,92,100,4.72,overcast clouds
28,Chase,CA,50.8165,-119.6857,27.39,97,75,1.86,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,75.65,28,1,5.01,clear sky
30,Areia Branca,BR,-4.9561,-37.1369,78.53,81,22,14.52,few clouds
31,Santa Pola,ES,38.1917,-0.5658,59.67,60,40,8.05,scattered clouds
32,Kizukuri,JP,40.8061,140.3861,39.11,54,97,12.88,overcast clouds
33,Butaritari,KI,3.0707,172.7902,83.14,79,100,18.59,overcast clouds
34,Yeppoon,AU,-23.1333,150.7333,87.58,65,7,14.45,clear sky
35,Formosa Do Rio Preto,BR,-11.0483,-45.1931,67.87,97,98,2.24,overcast clouds
36,Wajima,JP,37.4,136.9,41.68,60,75,5.75,broken clouds
37,Beyneu,KZ,45.3167,55.2,29.68,85,5,10.09,clear sky
38,Santo Tomas,PH,14.1079,121.1414,82.58,58,94,14.0,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,68.27,93,100,25.41,light rain
40,Fukue,JP,32.6881,128.8419,55.76,67,75,4.61,broken clouds
41,Yellowknife,CA,62.456,-114.3525,-25.08,75,75,5.75,light snow
42,Sorsk,RU,54.0033,90.2467,17.76,88,86,4.05,overcast clouds
43,Kaitangata,NZ,-46.2817,169.8464,49.48,94,100,12.08,light rain
44,Chuy,UY,-33.6971,-53.4616,63.09,94,92,7.16,overcast clouds
45,Bambous Virieux,MU,-20.3428,57.7575,81.21,65,17,10.71,few clouds
46,Waddan,LY,29.1614,16.139,46.67,74,0,3.31,clear sky
47,Opuwo,NA,-18.0607,13.84,64.06,27,69,1.3,broken clouds
48,Moree,AU,-29.4667,149.85,86.13,32,27,11.59,scattered clouds
49,Pangai,TO,-19.8,-174.35,80.06,81,26,18.9,light rain
50,Tilichiki,RU,60.4667,166.1,2.17,95,100,11.41,light snow
51,Thompson,CA,55.7435,-97.8558,-11.04,84,75,5.75,broken clouds
52,Vardo,NO,70.3705,31.1107,20.62,69,43,30.69,scattered clouds
53,Atuona,PF,-9.8,-139.0333,78.66,75,7,16.37,clear sky
54,Saint-Joseph,RE,-21.3667,55.6167,82.2,76,27,7.76,scattered clouds
55,Jacareacanga,BR,-6.2222,-57.7528,73.18,99,100,0.67,overcast clouds
56,Gravdal,NO,68.1214,13.5031,24.78,59,37,9.06,scattered clouds
57,Bambanglipuro,ID,-7.95,110.2833,75.6,73,100,6.4,overcast clouds
58,San Pedro,PH,14.35,121.0167,84.34,61,94,16.62,overcast clouds
59,Castro,BR,-24.7911,-50.0119,57.96,99,46,5.82,scattered clouds
60,Chokurdakh,RU,70.6333,147.9167,-41.6,100,57,3.65,broken clouds
61,Turbat,PK,26.0023,63.044,70.86,30,0,9.44,clear sky
62,Goderich,CA,43.7501,-81.7165,34.92,59,100,21.07,overcast clouds
63,Saskylakh,RU,71.9167,114.0833,-17.23,97,100,10.83,overcast clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,68.31,92,34,6.44,scattered clouds
65,Umm Lajj,SA,25.0213,37.2685,74.8,48,1,8.86,clear sky
66,Dudinka,RU,69.4058,86.1778,-29.38,99,84,8.1,broken clouds
67,Buala,SB,-8.145,159.5921,82.98,80,100,3.67,moderate rain
68,Kalmunai,LK,7.4167,81.8167,81.97,75,1,2.91,clear sky
69,Faanui,PF,-16.4833,-151.75,81.05,67,38,12.84,scattered clouds
70,Necochea,AR,-38.5473,-58.7368,54.03,88,100,5.57,light rain
71,Suntar,RU,62.1444,117.6319,6.4,82,80,11.63,broken clouds
72,Qasigiannguit,GL,68.8193,-51.1922,35.85,46,100,25.17,light rain
73,Burns Lake,CA,54.2331,-125.7533,19.08,89,41,2.93,scattered clouds
74,Khatanga,RU,71.9667,102.5,-23.6,96,100,12.41,overcast clouds
75,Aksha,RU,50.2814,113.2867,29.44,58,2,14.97,clear sky
76,Comodoro Rivadavia,AR,-45.8667,-67.5,69.31,41,42,18.12,scattered clouds
77,Port Hardy,CA,50.6996,-127.4199,35.76,68,31,13.18,scattered clouds
78,Cabo San Lucas,MX,22.8909,-109.9124,77.5,72,100,5.61,overcast clouds
79,Manokwari,ID,-0.8667,134.0833,82.62,78,84,3.47,broken clouds
80,Mayo,US,38.8876,-76.5119,48.67,68,1,1.01,clear sky
81,Georgetown,MY,5.4112,100.3354,86.9,67,20,1.01,few clouds
82,Jitra,MY,6.2681,100.4217,84.58,60,33,10.71,scattered clouds
83,Belaya Gora,RU,68.5333,146.4167,-45.18,100,73,0.02,broken clouds
84,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,9.22,broken clouds
85,Kodiak,US,57.79,-152.4072,18.91,93,90,0.0,light snow
86,Pevek,RU,69.7008,170.3133,-26.14,99,24,5.39,few clouds
87,Hermanus,ZA,-34.4187,19.2345,63.9,93,100,19.86,light rain
88,Serebryansk,KZ,49.6925,83.2892,8.15,97,96,5.1,overcast clouds
89,Ostrovnoy,RU,68.0531,39.5131,5.95,95,83,8.52,broken clouds
90,Chanika,TZ,-5.4167,38.0167,68.13,93,85,1.72,overcast clouds
91,Yerbogachen,RU,61.2767,108.0108,0.39,82,100,13.42,overcast clouds
92,Hasaki,JP,35.7333,140.8333,54.28,54,17,13.27,few clouds
93,Ushuaia,AR,-54.8,-68.3,38.89,79,27,5.28,scattered clouds
94,Baisha,CN,26.5222,110.9311,63.03,34,0,1.99,clear sky
95,San Felipe,VE,10.3399,-68.7425,72.97,93,89,3.94,overcast clouds
96,La Ronge,CA,55.1001,-105.2842,-0.44,93,100,5.59,overcast clouds
97,Nioro,GM,13.35,-15.75,73.74,56,100,4.18,overcast clouds
98,Arman,RU,59.7,150.1667,-15.99,96,48,4.88,scattered clouds
99,Tucupita,VE,9.0622,-62.051,71.51,98,48,3.13,scattered clouds
100,Axim,GH,4.8699,-2.2405,78.35,85,99,4.85,light rain
101,Nyurba,RU,63.2842,118.3319,4.41,86,99,10.67,overcast clouds
102,Mbekenyera,TZ,-10.0,38.9833,75.65,81,96,4.99,light rain
103,Egvekinot,RU,66.3167,-179.1667,-3.1,96,100,18.7,light snow
104,Saint Anthony,US,45.0205,-93.218,30.4,87,90,1.99,snow
105,Verkhnevilyuysk,RU,63.4453,120.3167,4.96,88,93,8.34,overcast clouds
106,Nunoa,PE,-14.48,-70.6411,43.34,85,94,5.53,overcast clouds
107,Marzuq,YE,14.4,46.4667,60.49,32,0,1.43,clear sky
108,Seoul,KR,37.5683,126.9778,45.79,25,0,0.25,clear sky
109,Victoria,HK,22.2855,114.1577,71.65,42,87,3.0,overcast clouds
110,Gaoual,GN,11.75,-13.2,71.56,76,24,2.15,few clouds
111,Bontang,ID,0.1333,117.5,81.95,78,100,8.79,light rain
112,Stornoway,GB,58.2093,-6.3865,40.96,85,75,4.0,broken clouds
