City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,56.26,63,90,3.0,AU,2021-12-03 17:28:25
1,Ayutla,20.1167,-104.3333,79.21,30,85,2.62,MX,2021-12-03 17:30:17
2,Bambous Virieux,-20.3428,57.7575,79.05,83,40,4.61,MU,2021-12-03 17:30:17
3,Albany,42.6001,-73.9662,38.08,56,39,5.01,US,2021-12-03 17:30:17
4,New Norfolk,-42.7826,147.0587,55.92,60,56,3.0,AU,2021-12-03 17:29:51
5,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,12.66,CA,2021-12-03 17:30:18
6,Khatanga,71.9667,102.5,-19.8,99,100,13.56,RU,2021-12-03 17:29:41
7,Roald,62.5833,6.1333,30.09,64,75,11.5,NO,2021-12-03 17:30:18
8,Kenai,60.5544,-151.2583,5.14,84,1,3.44,US,2021-12-03 17:30:06
9,Port Lincoln,-34.7333,135.8667,54.57,77,31,10.76,AU,2021-12-03 17:30:19
10,Lixourion,38.2019,20.4314,62.46,94,90,14.97,GR,2021-12-03 17:30:19
11,Barentu,15.1139,37.5928,77.7,29,0,9.08,ER,2021-12-03 17:30:19
12,Mahebourg,-20.4081,57.7,79.09,83,40,4.61,MU,2021-12-03 17:25:21
13,Atherton,53.5237,-2.4935,46.29,87,100,2.98,GB,2021-12-03 17:28:55
14,Vao,-22.6667,167.4833,76.14,75,99,11.86,NC,2021-12-03 17:30:20
15,Daru,-9.0763,143.2092,80.87,84,100,6.82,PG,2021-12-03 17:30:20
16,Naron,43.5167,-8.1528,57.04,93,83,12.84,ES,2021-12-03 17:30:20
17,Port Alfred,-33.5906,26.891,63.9,74,63,8.86,ZA,2021-12-03 17:30:20
18,Pokrovsk,48.282,37.1758,46.38,82,72,18.23,UA,2021-12-03 17:30:21
19,Castro,-24.7911,-50.0119,76.98,51,67,5.61,BR,2021-12-03 17:30:21
20,Port Elizabeth,-33.918,25.5701,64.69,77,40,4.61,ZA,2021-12-03 17:25:31
21,Aklavik,68.2191,-135.0107,-22.97,75,20,3.44,CA,2021-12-03 17:30:21
22,Moose Factory,51.2585,-80.6094,5.0,66,1,12.66,CA,2021-12-03 17:30:22
23,Fortuna,40.5982,-124.1573,45.52,100,40,6.91,US,2021-12-03 17:30:22
24,Butaritari,3.0707,172.7902,82.29,69,49,14.16,KI,2021-12-03 17:30:22
25,Wau,7.7029,27.9953,86.0,27,75,2.77,SS,2021-12-03 17:30:23
26,Vrangel,42.7297,133.0839,22.5,56,31,8.79,RU,2021-12-03 17:30:23
27,Mabai,23.0128,104.4508,46.51,90,57,1.81,CN,2021-12-03 17:30:23
28,Jamestown,42.097,-79.2353,36.99,81,90,3.0,US,2021-12-03 17:30:23
29,Kodiak,57.79,-152.4072,6.31,85,1,6.91,US,2021-12-03 17:28:24
30,Morondava,-20.2833,44.2833,81.25,81,37,10.07,MG,2021-12-03 17:30:24
31,Atuona,-9.8,-139.0333,78.08,75,16,20.38,PF,2021-12-03 17:27:10
32,West Wendover,40.7391,-114.0733,33.01,75,1,0.0,US,2021-12-03 17:30:24
33,Lagoa,39.05,-27.9833,63.7,79,2,11.18,PT,2021-12-03 17:30:24
34,Sistranda,63.7256,8.834,22.96,68,2,22.28,NO,2021-12-03 17:30:25
35,Kavaratti,10.5669,72.642,81.73,73,25,2.59,IN,2021-12-03 17:30:25
36,Rikitea,-23.1203,-134.9692,76.35,75,5,16.93,PF,2021-12-03 17:30:25
37,Visnes,59.3556,5.2242,33.22,93,90,18.41,NO,2021-12-03 17:30:26
38,Roanoke,37.271,-79.9414,68.18,43,1,5.01,US,2021-12-03 17:26:30
39,Yumen,40.2833,97.2,25.74,39,0,15.1,CN,2021-12-03 17:30:26
40,Norman Wells,65.282,-126.8329,-30.96,68,20,2.3,CA,2021-12-03 17:30:26
41,Puerto Ayora,-0.7393,-90.3518,76.96,80,83,10.22,EC,2021-12-03 17:30:27
42,Carutapera,-1.195,-46.02,84.15,71,84,4.92,BR,2021-12-03 17:30:27
43,Tautira,-17.7333,-149.15,80.62,71,45,19.33,PF,2021-12-03 17:30:27
44,Iqaluit,63.7506,-68.5145,10.13,72,20,5.99,CA,2021-12-03 17:29:48
45,Grindavik,63.8424,-22.4338,30.67,93,40,13.8,IS,2021-12-03 17:31:28
46,Hermanus,-34.4187,19.2345,66.9,71,33,14.85,ZA,2021-12-03 17:31:28
47,Shaoyang,27.2315,111.4525,50.05,49,86,2.28,CN,2021-12-03 17:31:28
48,Chamba,32.5667,76.1333,56.5,58,17,6.62,IN,2021-12-03 17:31:29
49,Touros,-5.1989,-35.4608,90.5,68,99,14.07,BR,2021-12-03 17:31:29
50,Torbay,47.6666,-52.7314,53.28,97,90,34.52,CA,2021-12-03 17:31:29
51,Port Hardy,50.6996,-127.4199,39.2,100,75,3.44,CA,2021-12-03 17:30:33
52,Ushuaia,-54.8,-68.3,58.66,38,40,6.91,AR,2021-12-03 17:31:30
53,Vanino,49.0869,140.2543,1.89,88,81,7.02,RU,2021-12-03 17:31:30
54,Mar Del Plata,-38.0023,-57.5575,65.08,92,90,1.01,AR,2021-12-03 17:31:31
55,Dikson,73.5069,80.5464,-21.98,95,97,14.18,RU,2021-12-03 17:31:31
56,Panzhihua,26.5851,101.7128,56.53,81,97,0.6,CN,2021-12-03 17:31:31
57,Maragogi,-9.0122,-35.2225,86.43,59,33,14.03,BR,2021-12-03 17:29:35
58,Port-Gentil,-0.7193,8.7815,78.76,83,40,5.75,GA,2021-12-03 17:31:32
59,Orocue,4.7912,-71.3354,90.39,46,87,10.27,CO,2021-12-03 17:31:32
60,Zhigansk,66.7697,123.3711,-41.24,98,80,9.13,RU,2021-12-03 17:31:32
61,Malayal,7.208,121.942,77.88,86,100,6.55,PH,2021-12-03 17:31:33
62,Mataura,-46.1927,168.8643,58.48,100,88,2.51,NZ,2021-12-03 17:31:33
63,Saint-Pierre,-21.3393,55.4781,78.48,78,0,10.36,RE,2021-12-03 17:27:42
64,Busselton,-33.65,115.3333,55.04,68,0,13.31,AU,2021-12-03 17:31:34
65,Chokurdakh,70.6333,147.9167,-18.8,93,100,16.26,RU,2021-12-03 17:31:34
66,Nikolskoye,59.7035,30.7861,22.01,95,100,8.16,RU,2021-12-03 17:27:04
67,Vaini,-21.2,-175.2,73.56,100,40,5.75,TO,2021-12-03 17:31:34
68,Longyearbyen,78.2186,15.6401,33.64,75,40,21.85,SJ,2021-12-03 17:31:35
69,Avera,33.194,-82.5271,75.25,31,4,6.02,US,2021-12-03 17:31:35
70,Saint-Augustin,51.226,-58.6502,38.59,100,100,2.98,CA,2021-12-03 17:31:35
71,Shimoda,34.6667,138.95,47.1,69,0,20.71,JP,2021-12-03 17:31:36
72,Constitucion,-35.3333,-72.4167,63.73,57,9,13.11,CL,2021-12-03 17:31:36
73,Mnogovershinnyy,53.9353,139.9242,-2.63,95,96,6.87,RU,2021-12-03 17:31:37
74,Olafsvik,64.8945,-23.7142,36.32,68,100,7.02,IS,2021-12-03 17:31:37
75,Westport,41.1415,-73.3579,47.8,49,1,3.0,US,2021-12-03 17:28:40
76,Bien Hoa,10.95,106.8167,73.38,78,64,4.54,VN,2021-12-03 17:31:38
77,Mount Isa,-20.7333,139.5,85.77,26,100,5.75,AU,2021-12-03 17:31:16
78,Omboue,-1.5746,9.2618,76.53,93,100,6.04,GA,2021-12-03 17:31:38
79,Namatanai,-3.6667,152.4333,80.64,81,89,5.79,PG,2021-12-03 17:31:38
80,Hamilton,39.1834,-84.5333,57.51,52,1,3.0,US,2021-12-03 17:30:33
